experiment,run,role,node,source_log,sync_buffer_us,sync_prep_us,guard_us,pac,phase,count,min_us,max_us,avg_us,first_slot_prep_max_us,phase_max_share_percent,result
wait_buffer_sweep,r1,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n2.log,1750,2500,200,8,sync_event_detect_to_beacon_ready,1000,153,153,153.0,1580,9.684,PASS
wait_buffer_sweep,r1,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n2.log,1750,2500,200,8,sensor_data_phy_config,1000,991,991,991.0,1580,62.722,PASS
wait_buffer_sweep,r1,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n2.log,1750,2500,200,8,sensor_tx_buffer_write,1000,73,73,73.0,1580,4.62,PASS
wait_buffer_sweep,r1,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n2.log,1750,2500,200,8,sensor_delayed_tx_arm_call,1000,174,174,174.0,1580,11.013,PASS
wait_buffer_sweep,r1,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n3.log,1750,2500,200,8,sync_event_detect_to_frame_read,1000,126,126,126.0,1599,7.88,PASS
wait_buffer_sweep,r1,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n3.log,1750,2500,200,8,sync_event_detect_to_beacon_ready,1000,153,153,153.0,1599,9.568,PASS
wait_buffer_sweep,r1,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n3.log,1750,2500,200,8,sensor_data_phy_config,1000,991,991,991.0,1599,61.976,PASS
wait_buffer_sweep,r1,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n3.log,1750,2500,200,8,sensor_tx_buffer_write,1000,73,73,73.0,1599,4.565,PASS
wait_buffer_sweep,r1,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n3.log,1750,2500,200,8,sensor_delayed_tx_arm_call,1000,174,174,174.0,1599,10.882,PASS
wait_buffer_sweep,r1,sensor,N4,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n4.log,1750,2500,200,8,sync_event_detect_to_frame_read,1000,126,126,126.0,1594,7.905,PASS
wait_buffer_sweep,r1,sensor,N4,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n4.log,1750,2500,200,8,sync_event_detect_to_beacon_ready,1000,153,153,153.0,1594,9.598,PASS
wait_buffer_sweep,r1,sensor,N4,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n4.log,1750,2500,200,8,sensor_data_phy_config,1000,991,991,991.0,1594,62.171,PASS
wait_buffer_sweep,r1,sensor,N4,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n4.log,1750,2500,200,8,sensor_tx_buffer_write,1000,73,73,73.0,1594,4.58,PASS
wait_buffer_sweep,r1,sensor,N4,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb1750_sp2500_20260901_spiopt/exp4_32_s3_r1_n4.log,1750,2500,200,8,sensor_delayed_tx_arm_call,1000,174,174,174.0,1594,10.916,PASS
wait_buffer_sweep,r1,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb2000_sp2500_20260901_spiopt/exp4_32_s3_r1_n2.log,2000,2500,200,8,sync_event_detect_to_frame_read,1000,126,126,126.0,1581,7.97,PASS
